一|ひと-, ひと.つ, イチ|one, one radical (no.1)
技|わざ, ギ|skill, art, craft
局|つぼね, キョク|bureau, board, office
君|きみ, -ぎみ, クン|old boy, name-suffix
均|なら.す, キン|level, average
形|かた, -がた, ケイ|shape, form, style
決|き.める, -ぎ.め, ケツ|decide, fix, agree upon
芸|う.える, のり, ゲイ|technique, art, craft
求|もと.める, キュウ|request, want, wish for
希|まれ, キ|hope, beg, request, pray
告|つ.げる, コク|revelation, tell, inform
材|ザイ|lumber, log, timber
坂|さか, ハン|slope, incline, hill
似|に.る, ひ.る, ジ|becoming, resemble
児|こ, -こ, ジ|newborn babe, child
状|ジョウ|status quo, conditions
初|はじ.め, はじ.めて, ショ|first time, beginning
助|たす.ける, たす.かる, ジョ|help, rescue, assist
労|ろう.する, いたわ.る, ロウ|labor, thank for
冷|つめ.たい, ひ.える, レイ|cool
例|たと.える, レイ|example, custom, usage
和|やわ.らぐ, やわ.らげる, ワ|harmony, Japanese style
述|の.べる, ジュツ|mention, state, speak
承|うけたまわ.る, う.ける, ショウ|acquiesce, hear
招|まね.く, ショウ|beckon, invite, summon
実|み, みの.る, ジツ|reality, truth
取|と.る, と.り, シュ|take, fetch, take up
治|おさ.める, おさ.まる, ジ|reign, be at peace
受|う.ける, -う.け, ジュ|accept, undergo
周|まわ.り, シュウ|circumference, circuit
妻|つま, サイ|wife, spouse
参|まい.る, まい-, サン|nonplussed, three, going
枝|えだ, シ|bough, branch, twig
刷|す.る, -ず.り, サツ|printing, print
効|き.く, ききめ, コウ|merit, efficacy
幸|さいわ.い, さち, コウ|happiness, blessing
固|かた.める, かた.まる, コ|harden, set, clot
季|キ|seasons
岸|きし, ガン|beach
岩|いわ, ガン|boulder, rock, cliff
泣|な.く, キュウ|cry, weep, moan
協|キョウ|co-, cooperation
居|い.る, -い, キョ|reside, to be, exist
苦|くる.しい, -ぐる.しい, ク|suffering, trial, worry
具|そな.える, つぶさ.に, グ|tool, utensil, means
果|は.たす, はた.す, カ|fruit, reward, carry out
河|かわ, カ|river
官|カン|bureaucrat
委|ゆだ.ねる, イ|committee, entrust to
易|やさ.しい, やす.い, エキ|easy, ready to, simple
育|そだ.つ, そだ.ち, イク|bring up, grow up, raise
泳|およ.ぐ, エイ|swim
直|ただ.ちに, なお.す, チョク|straightaway, honesty
定|さだ.める, さだ.まる, テイ|determine, fix
底|そこ, テイ|bottom, sole, depth
的|まと, テキ|bull's eye, mark, target
性|さが, セイ|sex, gender, nature
昔|むかし, セキ|once upon a time
制|セイ|system, law, rule
卒|そっ.する, お.える, ソツ|graduate, soldier
非|あら.ず, ヒ|un-, mistake, negative
波|なみ, ハ|waves, billows, Poland
板|いた, ハン|plank, board, plate
版|ハン|printing block
念|ネン|wish, sense, idea
武|たけ.し, ブ|warrior, military
表|おもて, -おもて, ヒョウ|surface, table, chart
命|いのち, メイ|fate, command, decree
府|フ|borough
放|はな.す, -っぱな.し, ホウ|set free, release, fire
法|のり, ホウ|method, law, rule
油|あぶら, ユ|oil, fat
勇|いさ.む, ユウ|courage, cheer up
要|い.る, かなめ, ヨウ|need, main point
負|ま.ける, ま.かす, フ|defeat, negative, -
迷|まよ.う, メイ|astray, be perplexed
約|つづ.まる, つづ.める, ヤク|promise, approximately
面|おも, おもて, メン|mask, face, features
変|か.わる, か.わり, ヘン|unusual, change, strange
飛|と.ぶ, と.ばす, ヒ|fly, skip (pages)
美|うつく.しい, ビ|beauty, beautiful
独|ひと.り, ドク|single, alone
則|のっと.る, ソク|rule, follow, based on
相|あい-, ソウ|inter-, mutual, together
草|くさ, くさ-, ソウ|grass, weeds, herbs
祖|ソ|ancestor, pioneer
信|シン|faith, truth, fidelity
政|まつりごと, まん, セイ|politics, government
星|ほし, -ぼし, セイ|star, spot, dot, mark
点|つ.ける, つ.く, テン|spot, point, mark, speck
追|お.う, ツイ|chase, drive away
単|ひとえ, タン|simple, one, single
炭|すみ, タン|charcoal, coal
退|しりぞ.く, しりぞ.ける, タイ|retreat, withdraw
栄|さか.える, は.え, エイ|flourish, prosperity
科|カ|department, course
活|い.きる, い.かす, カツ|lively, resuscitation
胃|イ|stomach, paunch, crop
級|キュウ|class, rank, grade
軍|いくさ, グン|army, force, troops, war
係|かか.る, かかり, ケイ|person in charge
型|かた, -がた, ケイ|mould, type, model
客|キャク|guest, visitor, customer
逆|さか, さか.さ, ギャク|inverted, reverse
限|かぎ.る, かぎ.り, ゲン|limit, restrict
厚|あつ.い, あか, コウ|thick, heavy, rich, kind
指|ゆび, さ.す, シ|finger, point to
昨|サク|yesterday, previous
祝|いわ.う, シュク|celebrate, congratulate
神|かみ, かん-, シン|gods, mind, soul
査|サ|investigate
省|かえり.みる, はぶ.く, セイ|focus
酒|さけ, さか-, シュ|sake, alcohol
笑|わら.う, え.む, ショウ|laugh
消|き.える, け.す, ショウ|extinguish, blow out
師|もろもろ, なら.う, シ|expert, teacher, master
財|たから, ザイ|property, money, wealth
殺|ころ.す, -ごろ.し, サツ|kill, murder, butcher
差|さ.す, さ.し, サ|distinction, difference
残|のこ.る, のこ.す, ザン|remainder, leftover
航|コウ|navigate, sail, cruise
根|ね, -ね, コン|root, radical
個|コ|individual
候|そうろう, コウ|climate, season, weather
庫|くら, コ|warehouse, storehouse
記|しる.す, キ|scribe, account
訓|おし.える, よ.む, クン|instruction
害|ガイ|harm, injury
格|カク|status, rank, capacity
荷|に, カ|baggage
帯|お.びる, おび, タイ|sash, belt, obi, zone
島|しま, トウ|island
庭|にわ, テイ|courtyard, garden, yard
徒|いたずら, あだ, ト|junior, emptiness
席|むしろ, セキ|seat, mat, occasion
息|いき, ソク|breath, respiration, son
造|つく.る, つく.り, ゾウ|create, make, structure
孫|まご, ソン|grandchild, descendants
速|はや.い, はや-, ソク|quick, fast
能|よ.く, ノウ|ability, talent, skill
配|くば.る, ハイ|distribute, spouse
倍|バイ|double, twice, times
破|やぶ.る, やぶ.れる, ハ|rend, rip, tear, break
馬|うま, うま-, バ|horse
浴|あ.びる, あ.びせる, ヨク|bathe, be favored with
容|い.れる, ヨウ|contain, form, looks
流|なが.れる, なが.れ, リュウ|current, a sink, flow
留|と.める, と.まる, リュウ|detain, fasten, halt
連|つら.なる, つら.ねる, レン|take along, lead, join
陸|おか, リク|land, six
率|ひき.いる, ソツ|ratio, rate, proportion
略|ほぼ, おか.す, リャク|abbreviation, omission
望|のぞ.む, もち, ボウ|ambition, full moon
務|つと.める, ム|task, duties
敗|やぶ.れる, ハイ|failure, defeat
部|-べ, ブ|section, bureau, dept
副|フク|vice-, duplicate, copy
婦|よめ, フ|lady, woman, wife, bride
側|かわ, がわ, ソク|side, lean, oppose
組|く.む, くみ, ソ|association, braid
責|せ.める, セキ|blame, condemn, censure
接|つ.ぐ, セツ|touch, contact, adjoin
船|ふね, ふな-, セン|ship, boat
商|あきな.う, ショウ|make a deal, selling
設|もう.ける, セツ|establishment, provision
雪|ゆき, セツ|snow
清|きよ.い, きよ.まる, セイ|pure, purify, cleanse
深|ふか.い, -ぶか.い, シン|deep, heighten
得|え.る, う.る, トク|gain, get, find, earn
第|ダイ|No., residence
停|と.める, と.まる, テイ|halt, stopping
断|た.つ, ことわ.る, ダン|severance, decline
貨|たから, カ|freight, goods, property
液|エキ|fluid, liquid, juice
移|うつ.る, うつ.す, イ|shift, move, change
経|へ.る, た.つ, ケイ|sutra, longitude
規|キ|standard, measure
